GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000040204.6	183.585487567859	4.44075747607523	0.315252984319177	14.0863297001471	4.60901005666589e-45	4.01617613812724e-42	chr9	65890236	65903266	+	NA	Pclaf
ENSMUSG00000037411.10	52.993194521871	4.41530627978736	0.319097735899152	13.8368461541914	1.52763424073159e-43	1.27789659505679e-40	chr5	137061503	137072268	-	NA	Serpine1
ENSMUSG00000031207.16	776.546779390577	2.94199157068853	0.212681131526822	13.8328752981903	1.61436328003826e-43	1.29850689520923e-40	chrX	96096041	96168552	+	NA	Msn
ENSMUSG00000020649.11	47.5637247847237	3.7709587076231	0.274550132840453	13.735046013671	6.26162773570767e-43	4.84997854951313e-40	chr12	24708240	24714146	+	NA	Rrm2
ENSMUSG00000028873.16	119.762820781425	3.34623401362746	0.244686759984679	13.6755826667408	1.42064734117484e-42	1.06107135164248e-39	chr4	124918464	124939311	-	NA	Cdca8
ENSMUSG00000022033.9	45.6936489909166	5.44757972013513	0.400446511906254	13.6037636941895	3.80345655159038e-42	2.74281678839344e-39	chr14	65805836	65817822	+	NA	Pbk
ENSMUSG00000030786.18	80.1584268951808	2.25142009940822	0.165776396919111	13.5810654667973	5.18664110378182e-42	3.61560751344631e-39	chr7	128062639	128118491	+	NA	Itgam
ENSMUSG00000005233.16	58.4183264014692	4.40999595303518	0.324917327314349	13.5726708990457	5.81633307341161e-42	3.92377334078249e-39	chr2	69193894	69206194	-	NA	Spc25
ENSMUSG00000040552.8	112.857268529091	3.58548190691629	0.266233225440881	13.4674472015232	2.4312740585292e-41	1.58891357456316e-38	chr6	122847137	122856161	-	NA	C3ar1
ENSMUSG00000019832.5	91.2042325755367	3.22997245503794	0.242263257322763	13.3324899975844	1.49812598563783e-40	9.49403295080117e-38	chr10	10545001	10558265	-	NA	Rab32
ENSMUSG00000036896.5	424.433716706909	2.66857517536408	0.200286110274807	13.3238154742862	1.68282523443307e-40	1.03508600375585e-37	chr4	136889803	136893065	-	NA	C1qc
ENSMUSG00000017009.3	304.945577721519	1.45644208756516	0.109538450578118	13.2961720736272	2.43625406052743e-40	1.45569660479458e-37	chr2	164424246	164443887	-	NA	Sdc4
ENSMUSG00000000682.7	129.737422203308	4.07633837990623	0.306896222379477	13.2824651548361	2.92600294897679e-40	1.69976387977643e-37	chr4	134082447	134095082	-	NA	Cd52
ENSMUSG00000025044.16	107.327219201231	5.48726708726491	0.414422842960655	13.2407447621942	5.10401677639639e-40	2.88487304985885e-37	chr8	39581684	39642673	-	NA	Msr1
ENSMUSG00000070436.12	509.208026213057	3.01724866152892	0.229064195228642	13.1720658417054	1.27072403160066e-39	6.99332938759595e-37	chr7	99345375	99353239	-	NA	Serpinh1
ENSMUSG00000068220.6	788.383434994359	3.88202601328706	0.29480640714331	13.1680517085911	1.3401138670879e-39	7.18610289805367e-37	chr15	78926724	78930465	+	NA	Lgals1
ENSMUSG00000040747.9	61.5627280016355	2.54176458582241	0.19350598898258	13.1353277445652	2.06595012659029e-39	1.08013037493457e-36	chr3	106759920	106790149	-	NA	Cd53
ENSMUSG00000021127.7	237.231318323807	1.37421196262658	0.104960842909204	13.0926155367801	3.62892729568966e-39	1.85101845206726e-36	chr12	80107753	80113013	-	NA	Zfp36l1
ENSMUSG00000030579.10	132.759079171983	3.14312009085274	0.240263564799323	13.0819672698937	4.17493364528531e-39	2.07881874580599e-36	chr7	30413759	30417585	+	NA	Tyrobp
ENSMUSG00000050335.17	156.138663458992	5.52547917586269	0.424655285852983	13.0116811445404	1.05006263219854e-38	5.10696740166701e-36	chr14	47367750	47386160	+	NA	Lgals3
ENSMUSG00000023505.13	42.2803292126294	4.42190554199659	0.340535660367703	12.9851468043667	1.48553061440897e-38	7.060659486167e-36	chr6	124829546	124833701	+	NA	Cdca3
ENSMUSG00000026547.15	793.858576150945	3.50268097633388	0.270026754598018	12.9716071340717	1.77273966489267e-38	8.23851213597786e-36	chr1	172500046	172507380	+	NA	Tagln2
ENSMUSG00000028364.15	109.851438534969	3.7823552510065	0.292281489355053	12.9407964197549	2.64869365486375e-38	1.20417674791664e-35	chr4	63959784	64047015	-	NA	Tnc
ENSMUSG00000004891.16	98.0075882820079	3.12581559468323	0.241876519624951	12.9231874161661	3.33053147923769e-38	1.48194478351697e-35	chr3	87971077	87980451	+	NA	Nes
ENSMUSG00000030560.17	164.027229219891	2.80446970650047	0.219002686172191	12.8056406773725	1.52462260081538e-37	6.64259009392753e-35	chr7	88278084	88310888	+	NA	Ctsc
ENSMUSG00000028480.14	66.1403210074288	3.34040066579107	0.261849286785034	12.7569591913129	2.85115200446984e-37	1.21686003815261e-34	chr4	43957400	43979118	+	NA	Glipr2
ENSMUSG00000026786.14	120.568387169838	2.39995949681526	0.189740477013954	12.6486426859713	1.13824261651109e-36	4.7608135678193e-34	chr2	22774093	22875653	+	NA	Apbb1ip
ENSMUSG00000001025.8	712.090462873743	2.34616377004644	0.185910026557137	12.6198883056228	1.64053798507116e-36	6.59780209265252e-34	chr3	90612881	90624181	+	NA	S100a6
ENSMUSG00000045328.11	77.7190542536416	2.76020541194712	0.218703387375841	12.6207711963954	1.62224785018663e-36	6.59780209265252e-34	chr3	135212536	135273611	+	NA	Cenpe
ENSMUSG00000020808.3	32.0800388271792	4.50605769836484	0.358311844537408	12.5757988943466	2.86885421507794e-36	1.13200656980991e-33	chr11	72042031	72047370	+	NA	Pimreg
ENSMUSG00000026395.16	54.6528096516734	3.59589809137968	0.289464967763094	12.4225674670334	1.97131853190667e-35	7.63447860328967e-33	chr1	138062860	138175708	-	NA	Ptprc
ENSMUSG00000029622.16	968.914971315877	3.00504089896818	0.242001089427056	12.4174684753804	2.10105075780735e-35	7.98895899964094e-33	chr5	145114214	145130705	+	NA	Arpc1b
ENSMUSG00000038642.10	1157.56128237442	2.45142103900093	0.197788384221433	12.3941608029745	2.81072752901535e-35	1.04965615739818e-32	chr3	95526785	95556403	+	NA	Ctss
ENSMUSG00000004730.15	53.1357109492845	3.15872589903471	0.255032426031751	12.3855854260723	3.12793980808346e-35	1.14762465274473e-32	chr17	57358690	57483527	+	NA	Adgre1
ENSMUSG00000061232.16	389.779007268892	1.99414177352639	0.161220503513794	12.3690332809051	3.84420178756684e-35	1.38609986178251e-32	chr17	33996016	34000347	-	NA	H2-K1
ENSMUSG00000040613.14	36.0790237536507	4.4687809605393	0.362794562888854	12.3176624394681	7.27732287762825e-35	2.57950259898033e-32	chr6	122577791	122602444	-	NA	Apobec1
ENSMUSG00000054520.15	54.5820817429187	2.44452595392245	0.19922964115135	12.2698908646099	1.31430377465961e-34	4.58100580657608e-32	chr5	34525837	34563641	+	NA	Sh3bp2
ENSMUSG00000068699.12	29.0162990108932	4.22195805946731	0.344529590091863	12.2542683731217	1.5938125095992e-34	5.46416410053247e-32	chr6	29433255	29461883	+	NA	Flnc
ENSMUSG00000011884.13	161.965573994071	1.39129586537323	0.113655483819916	12.2413439159495	1.86911829874512e-34	6.30465660994464e-32	chr5	114669397	114690984	-	NA	Gltp
ENSMUSG00000031004.8	39.432225076849	4.22066671488887	0.345692060729778	12.2093249870384	2.77179208190169e-34	9.20102981092223e-32	chr7	135689783	135716361	-	NA	Mki67
ENSMUSG00000097415.2	194.251390220068	3.33453997982427	0.274542964272192	12.1457855919348	6.0399649973477e-34	1.97365293733645e-31	chr7	75769037	75782099	-	NA	AU020206
ENSMUSG00000027111.16	398.339472295697	1.35409263910132	0.111555622985539	12.1382732923903	6.62084734297387e-34	2.13018123820942e-31	chr2	71745615	71858416	+	NA	Itga6
ENSMUSG00000027331.15	40.5666760364967	3.71924272872005	0.308181686358774	12.0683443999013	1.55225795290835e-33	4.91854099532915e-31	chr2	118814002	118853957	+	NA	Knstrn
ENSMUSG00000018930.3	41.992939931589	4.53755963927494	0.377044263555829	12.0345542363703	2.33893931111208e-33	7.3006325094458e-31	chr11	83662583	83664683	+	NA	Ccl4
ENSMUSG00000001517.14	55.135335901163	3.20470539483375	0.267053328098283	12.000245110798	3.54245764688383e-33	1.08946201131296e-30	chr6	128362966	128376146	+	NA	Foxm1
ENSMUSG00000044468.14	129.047760850391	3.69104380826679	0.309093380711339	11.9415168314906	7.18998955127512e-33	2.17919205051908e-30	chr3	100451627	100489324	-	NA	Tent5c
ENSMUSG00000030341.17	218.18461724418	2.35188658412225	0.197166593983626	11.9284232516466	8.4152319348857e-33	2.51411064934664e-30	chr6	125349361	125362484	+	NA	Tnfrsf1a
ENSMUSG00000029661.16	350.840373316517	3.08647813960201	0.259261891451699	11.9048662428548	1.11642175445303e-32	3.28841241561637e-30	chr6	4504813	4541544	+	NA	Col1a2
ENSMUSG00000068129.5	48.8210218747375	4.89961955793	0.411621101924967	11.903227349173	1.13857100674631e-32	3.3070743700119e-30	chr2	150570414	150578944	+	NA	Cst7
ENSMUSG00000032554.15	2621.88005740426	2.11361203509868	0.177717906374697	11.8930730066242	1.28586758317575e-32	3.68374640643213e-30	chr9	103204000	103230444	-	NA	Trf
ENSMUSG00000016534.15	669.7113211385	1.09333488079895	0.0920779282565431	11.8740169495642	1.61521614705675e-32	4.56473179505375e-30	chrX	38401356	38456454	-	NA	Lamp2
ENSMUSG00000073411.12	455.401564552093	1.43589702440524	0.121122254033563	11.8549397537413	2.02870085148863e-32	5.65682945429091e-30	chr17	35262729	35267499	+	NA	H2-D1
ENSMUSG00000022952.17	35.0582522759042	3.50020527052858	0.296668563737106	11.798369286037	3.97948426575789e-32	1.0950388743394e-29	chr16	92601465	92826149	-	NA	Runx1
ENSMUSG00000001473.7	26.6837599509136	4.62261951045003	0.393545266527164	11.7460935338958	7.39595476792653e-32	2.00872210469672e-29	chr18	67390716	67402749	+	NA	Tubb6
ENSMUSG00000045382.6	48.4739236052299	3.53995319500676	0.302775215175213	11.6916874882187	1.40565575696039e-31	3.76877933914264e-29	chr1	128588198	128592293	-	NA	Cxcr4
ENSMUSG00000022150.16	222.942406149475	2.81290231076996	0.240637891386688	11.6893573765979	1.44475628699087e-31	3.82458078858735e-29	chr15	6299787	6440712	+	NA	Dab2
ENSMUSG00000027469.16	57.9708648823852	2.65835230358022	0.227509575392437	11.6845732712338	1.52845265865797e-31	3.99556630631427e-29	chr2	152847963	152895321	+	NA	Tpx2
ENSMUSG00000032231.14	576.193601816144	3.59044623954347	0.307351429638298	11.6818921056226	1.57744557477655e-31	4.07273077843233e-29	chr9	69453619	69491795	+	NA	Anxa2
ENSMUSG00000031838.8	71.049592438256	3.76280187778193	0.32289264023583	11.6534148162489	2.2044456154006e-31	5.62214282376498e-29	chr8	70762773	70766663	-	NA	Ifi30
ENSMUSG00000059498.13	312.391874199913	2.99015638390672	0.257587052423216	11.6083333994361	3.73830784616165e-31	9.4191845767203e-29	chr1	171051173	171064935	-	NA	Fcgr3
ENSMUSG00000044258.10	129.365649820242	3.34187783832182	0.289576589284294	11.5405663371527	8.23810311267441e-31	2.05099345708762e-28	chr13	60934154	60936625	-	NA	Ctla2a
ENSMUSG00000041859.10	110.28793701996	2.95433633972343	0.25637769519524	11.5233750637847	1.00592086865733e-30	2.47492036779185e-28	chr1	20802967	20820312	-	NA	Mcm3
ENSMUSG00000034349.14	130.680817640721	2.20913347857892	0.191726582649436	11.5223118675109	1.01841284568587e-30	2.47651951649169e-28	chr3	69004737	69034623	+	NA	Smc4
ENSMUSG00000041515.10	198.954666694316	2.58039691271411	0.224577839387971	11.4899890378601	1.48130726424387e-30	3.56075618587725e-28	chr8	120736357	120756694	+	NA	Irf8
ENSMUSG00000026193.15	877.073200327745	2.99125986964394	0.260678983026247	11.4748793129316	1.76423657598655e-30	4.19266812654623e-28	chr1	71585519	71653200	-	NA	Fn1
ENSMUSG00000030104.9	104.675468340433	1.7544714906386	0.152971497338964	11.4692705579716	1.88239304175352e-30	4.42320063844846e-28	chr6	108828640	108859356	+	NA	Edem1
ENSMUSG00000036908.17	103.996484249343	1.98099220878695	0.172828710023887	11.4621708888133	2.04328092646989e-30	4.74790377947387e-28	chr19	3935185	3949340	+	NA	Unc93b1
ENSMUSG00000069516.8	534.779104161276	4.53090209813119	0.39596174208038	11.4427774620999	2.5557047723937e-30	5.87334658297467e-28	chr10	117277330	117282321	-	NA	Lyz2
ENSMUSG00000021948.17	84.2683728423203	1.58396219665086	0.138635530729931	11.4253697325003	3.12323487882727e-30	7.09958815444726e-28	chr14	30595353	30626210	-	NA	Prkcd
ENSMUSG00000041736.7	153.798350787722	3.2041405649127	0.281203374835697	11.3943887294554	4.45948759967927e-30	1.00280929217304e-27	chr15	83563591	83574203	+	NA	Tspo
ENSMUSG00000085939.3	1546.63934677741	2.57077228899548	0.225660788615963	11.3921975756741	4.57308390934372e-30	1.01741387017133e-27	chr18	50134725	50135600	+	NA	Cd63-ps
ENSMUSG00000058715.11	157.832167198996	3.40466229988195	0.300193458655262	11.3415605894058	8.1674819407732e-30	1.79066785443796e-27	chr1	171229571	171234365	-	NA	Fcer1g
ENSMUSG00000018927.3	73.4735598341891	3.60217400572941	0.319863741823027	11.2615890291261	2.03063713363376e-29	4.37801179130752e-27	chr11	83587881	83593087	-	NA	Ccl6
ENSMUSG00000078945.10	33.2784371008409	3.24788557398563	0.289985578908741	11.2001623881019	4.06986794978776e-29	8.68501514631749e-27	chr13	100144062	100202092	-	NA	Naip2
ENSMUSG00000048865.16	69.6774737142761	2.54008397658896	0.227130492491026	11.1833684184404	4.91868998451325e-29	1.03903599642551e-26	chr1	171388953	171410298	+	NA	Arhgap30
ENSMUSG00000028044.6	152.626564359395	2.22707204155716	0.199336310485316	11.1724353487581	5.5634256598928e-29	1.16347920825338e-26	chr3	89415471	89418383	-	NA	Cks1b
ENSMUSG00000070348.5	242.885961236058	1.67514143737811	0.149986842372903	11.1685892634056	5.80962360914791e-29	1.20293721324862e-26	chr7	144929930	144939925	-	NA	Ccnd1
ENSMUSG00000028312.19	230.681952501211	1.31272327071511	0.118397076113358	11.0874635912313	1.44321938939011e-28	2.9302958340112e-26	chr4	52439242	52488260	+	NA	Smc2
ENSMUSG00000032359.14	182.864775074843	2.82421341310592	0.254872326237797	11.0808947161683	1.5531268970907e-28	3.1231291152748e-26	chr9	90054151	90076089	+	NA	Ctsh
ENSMUSG00000052688.12	124.151336840497	3.34111413883387	0.301980941434309	11.0639900748858	1.87563768935415e-28	3.7357343807108e-26	chr1	131688694	131715439	+	NA	Rab7b
ENSMUSG00000033952.14	29.8567386341006	4.15622612822587	0.375862592120744	11.0578339407894	2.00890335627972e-28	3.96341470659225e-26	chr1	139454771	139494091	+	NA	Aspm
ENSMUSG00000007041.9	231.175917662627	3.19829825311309	0.289627304533021	11.0428064034565	2.37497422336696e-28	4.64185382553956e-26	chr17	35049965	35058749	+	NA	Clic1
ENSMUSG00000027435.8	281.21871469439	2.79344344754901	0.254124531194249	10.9924194819812	4.15632418317913e-28	7.97442271952525e-26	chr2	148436639	148443563	-	NA	Cd93
ENSMUSG00000001020.8	224.65537872063	3.15373524040309	0.28697701049284	10.9895048212643	4.29274748542146e-28	8.16129346932899e-26	chr3	90603770	90606045	+	NA	S100a4
ENSMUSG00000032254.10	61.4113980013781	2.69494840309967	0.245453088903755	10.9794845733491	4.79652652536582e-28	9.03691524549329e-26	chr9	61915904	61946774	-	NA	Kif23
ENSMUSG00000018774.13	122.160956191146	3.74435729857688	0.341318949027565	10.9702590765756	5.31199701532496e-28	9.91873156977597e-26	chr11	69664212	69666153	-	NA	Cd68
ENSMUSG00000000628.10	131.510089235557	2.51721977760524	0.229987048867858	10.9450501234596	7.01789008767198e-28	1.29880650799543e-25	chr6	82725024	82774454	-	NA	Hk2
ENSMUSG00000024989.15	29.5150657351155	3.35884941856482	0.307454617463098	10.924699867186	8.783028365208e-28	1.61122344036487e-25	chr19	38055010	38074423	+	NA	Cep55
ENSMUSG00000031502.11	234.167354837853	2.26151279619687	0.207129625019884	10.9183454369686	9.41961082667345e-28	1.71297670624541e-25	chr8	11198422	11312826	-	NA	Col4a1
ENSMUSG00000021423.6	68.9912767958949	2.62970833755425	0.241165117103276	10.9041820356968	1.10078812278559e-27	1.98455017343233e-25	chr13	37345207	37419036	+	NA	Ly86
ENSMUSG00000040212.12	96.9547517526523	3.62012868286492	0.332576556437156	10.8850988224992	1.35751309097694e-27	2.42646763005134e-25	chr7	45918022	45921404	-	NA	Emp3
ENSMUSG00000025351.14	3913.01962756539	2.35715260744394	0.218127078976338	10.8063272955654	3.2127658348571e-27	5.69394677155648e-25	chr10	128900988	128912822	+	NA	Cd63
ENSMUSG00000030867.7	196.872125351939	3.30168672315909	0.305811630579563	10.7964720534071	3.5768409721087e-27	6.28592228989153e-25	chr7	122159438	122169873	+	NA	Plk1
ENSMUSG00000045273.8	51.7379090356066	2.55388329664928	0.236766123755066	10.7865232413538	3.9858448683417e-27	6.94633114430251e-25	chr13	100759673	100775899	-	NA	Cenph
ENSMUSG00000026355.11	100.05526567971	2.10172368042712	0.195246290415473	10.7644743260155	5.06497779625738e-27	8.75403972339922e-25	chr1	128331589	128359664	-	NA	Mcm6
ENSMUSG00000022148.16	99.2594387413059	2.59976391156659	0.241640886554015	10.7587914803708	5.38719999839426e-27	9.23463225954256e-25	chr15	6522852	6663313	+	NA	Fyb
ENSMUSG00000028763.18	66.9233526521494	2.42123783018975	0.225144807036599	10.754135802902	5.66626427747903e-27	9.63403128739178e-25	chr4	137468768	137570630	+	NA	Hspg2
ENSMUSG00000029484.12	193.050960748318	2.45301038744413	0.228332143767744	10.7431671553844	6.38168222153904e-27	1.07629129273424e-24	chr5	96793338	96845966	+	NA	Anxa3
ENSMUSG00000024679.10	90.4480077719847	3.68715450413939	0.343450756504708	10.7356132846044	6.92575713547685e-27	1.15870687179382e-24	chr19	11586603	11604849	-	NA	Ms4a6d
ENSMUSG00000024538.8	55.1898756266097	2.86984602929562	0.267719427236186	10.7196032014658	8.2355884783923e-27	1.36691160197316e-24	chr18	53406331	53418115	-	NA	Ppic
ENSMUSG00000024411.11	496.822633582928	1.11120508549526	0.103773942551796	10.7079393744786	9.34179932298338e-27	1.53830747434292e-24	chr18	15389495	15410982	-	NA	Aqp4
ENSMUSG00000024677.13	63.4751687721919	2.97333854291071	0.278101806472462	10.6915470295772	1.11495498909397e-26	1.8216448192908e-24	chr19	11516511	11531256	+	NA	Ms4a6b
ENSMUSG00000053175.17	33.9400816809498	4.40418735040531	0.413595238338454	10.648544620819	1.77112340214596e-26	2.8712793572929e-24	chr7	19808461	19822770	-	NA	Bcl3
ENSMUSG00000021624.9	53.7466436908455	3.66344436791613	0.344806919933697	10.6246254240506	2.28929353734518e-26	3.68276890357691e-24	chr13	102693557	102739629	+	NA	Cd180
ENSMUSG00000000290.13	32.1235909483076	2.6917276339412	0.253510725069871	10.6178057484524	2.46282160584978e-26	3.93167849184248e-24	chr10	77530251	77565708	+	NA	Itgb2
ENSMUSG00000015839.6	96.3258554808161	1.79345416426415	0.168966976878987	10.6142288711753	2.55898598400667e-26	4.05424802147966e-24	chr2	75675512	75704641	-	NA	Nfe2l2
ENSMUSG00000046402.10	160.024670548867	1.72042017233575	0.162463742197812	10.5895638562911	3.33140393726068e-26	5.23831958946861e-24	chr9	98422960	98446575	+	NA	Rbp1
ENSMUSG00000058056.16	143.190979956745	1.66099356326195	0.156995578004351	10.5798748243464	3.69451476992046e-26	5.76592443159302e-24	chr8	61511432	61902690	-	NA	Palld
ENSMUSG00000006219.12	25.3734810827491	3.55463075538341	0.337056802907321	10.5460881510848	5.29562443791881e-26	8.20351065705155e-24	chr4	141576061	141606096	-	NA	Fblim1
ENSMUSG00000036223.16	41.554790538645	4.19456562432119	0.398644677993558	10.5220660299119	6.83579540850027e-26	1.05115433366152e-23	chr18	74195298	74207818	-	NA	Ska1
ENSMUSG00000034947.13	73.4513227100862	3.69572654845855	0.352810711146463	10.4750973587203	1.12421865776337e-25	1.71611567808798e-23	chr11	101582241	101591788	+	NA	Tmem106a
ENSMUSG00000029816.10	291.907489288724	4.72373731915687	0.451114952275692	10.4712497232192	1.17086897879822e-25	1.77437557634835e-23	chr6	49036545	49070929	+	NA	Gpnmb
ENSMUSG00000049130.6	28.0729701727	4.32344429559963	0.413486434628652	10.4560728805589	1.37434410756327e-25	2.0677452029835e-23	chr7	16246742	16259540	-	NA	C5ar1
ENSMUSG00000020097.14	185.666870646923	1.16384357751435	0.111474336988887	10.4404619839127	1.62020282761091e-25	2.4202358381305e-23	chr10	61098641	61147703	-	NA	Sgpl1
ENSMUSG00000038147.13	83.0753433838114	3.88009376556364	0.372293864440474	10.4221265408042	1.96509494976405e-25	2.91461210527769e-23	chr1	171839696	171890718	+	NA	Cd84
ENSMUSG00000027342.14	123.416774503145	1.28283369981309	0.123268821593742	10.406797787367	2.30856747389337e-25	3.39993461841775e-23	chr2	132249161	132253314	-	NA	Pcna
ENSMUSG00000024486.6	195.039213193214	1.58077800494074	0.152120914183045	10.3915889109015	2.70803659293236e-25	3.96036148727234e-23	chr18	36504926	36515805	-	NA	Hbegf
ENSMUSG00000025969.15	245.287541532008	1.4151161646585	0.13638551403434	10.3758538777234	3.19344584904453e-25	4.63781479451863e-23	chr1	62703284	62818695	+	NA	Nrp2
ENSMUSG00000022488.9	156.562628570958	2.34209505683007	0.226389759470649	10.3454107743496	4.39029457272444e-25	6.33201588961284e-23	chr15	103453793	103498810	+	NA	Nckap1l
ENSMUSG00000022218.16	25.226915033528	4.42137727036473	0.427895389209958	10.3328462560163	5.00529320997012e-25	7.16956828082912e-23	chr14	55700008	55713926	-	NA	Tgm1
ENSMUSG00000001228.14	19.5803441572313	3.69386078198461	0.358266100892804	10.3103831838387	6.324863317347e-25	8.99808616025019e-23	chr17	56303320	56323486	+	NA	Uhrf1
ENSMUSG00000028494.12	471.011342036872	4.19950177244608	0.407453147277171	10.3067108464114	6.57118853886724e-25	9.28535580495476e-23	chr4	86648385	86670060	-	NA	Plin2
ENSMUSG00000038843.18	94.1652577671222	2.58749231283251	0.252028493437366	10.2666657945783	9.95871718326071e-25	1.39776276814451e-22	chr19	17326140	17372844	-	NA	Gcnt1
ENSMUSG00000020388.12	241.233603568514	2.05188761451546	0.199992436145175	10.2598260917528	1.06899083752442e-24	1.49038702567654e-22	chr11	54054927	54069014	-	NA	Pdlim4
ENSMUSG00000071713.6	59.9507619917637	3.63167704691438	0.354310223625519	10.2499922518544	1.18353025020073e-24	1.63915020678462e-22	chr15	78325751	78353847	+	NA	Csf2rb
ENSMUSG00000060063.9	137.541619445356	2.52871276279472	0.24672066161186	10.2492946730699	1.19210239197154e-24	1.64016035021716e-22	chr5	149264766	149288153	+	NA	Alox5ap
ENSMUSG00000015950.13	103.122391403385	2.73884806519637	0.267498750127277	10.2387321955456	1.32967285525112e-24	1.81748028901089e-22	chr5	134220052	134229625	-	NA	Ncf1
ENSMUSG00000037313.16	47.1193832088398	2.16805480472869	0.211991282842057	10.2270941317148	1.49951361560895e-24	2.03632001579415e-22	chr5	33658127	33678995	+	NA	Tacc3
ENSMUSG00000031799.10	235.414473691167	2.01152202198871	0.197561242777469	10.1817643668828	2.39184697390277e-24	3.22714166227282e-22	chr8	72130173	72153142	+	NA	Tpm4
ENSMUSG00000056737.14	75.6461485544114	3.96359299037823	0.389393330434051	10.178892858694	2.46348157430168e-24	3.30248654893403e-22	chr6	72544390	72562983	+	NA	Capg
ENSMUSG00000047798.15	80.7024756419931	4.49843343833315	0.442790973032773	10.1592708801681	3.01321335646028e-24	4.01371534545566e-22	chr11	115116213	115133992	-	NA	Cd300lf
